mac_addr,loc1,loc2,loc3,loc4,loc5,loc6
74:a2:e6:aa:78:21,-84.0,,,,,-78.0
74:a2:e6:aa:78:2e,-86.0,,,,,-81.5
a8:9d:21:1d:f1:01,-69.0,-85.5,-89.0,-71.0,-77.0,-56.0
a8:9d:21:1d:f1:0e,-64.0,-81.0,-83.0,-59.0,-73.0,-48.0
a8:9d:21:1d:f1:31,-84.0,-72.0,-87.0,-69.0,-51.0,-73.5
a8:9d:21:1d:f1:3e,-79.0,-66.0,-79.0,-55.0,-46.0,-50.0
a8:9d:21:24:ca:61,,-85.0,-89.0,-89.0,-85.0,
a8:9d:21:24:ca:6e,,-85.0,,,-85.0,
a8:9d:21:25:3c:81,,,,,-88.0,
a8:9d:21:25:40:41,,,-79.0,-81.0,-89.0,
a8:9d:21:25:40:4e,,,-80.5,-79.5,,
a8:9d:21:3a:82:b1,-64.0,-67.0,-66.0,-88.0,-72.0,-81.0
a8:9d:21:3a:82:be,-43.0,-56.0,-54.0,-77.5,-66.0,-72.0
a8:9d:21:3c:3c:d1,,-87.0,,,-84.0,
a8:9d:21:3c:3c:de,,,,,-86.0,
a8:9d:21:3c:47:01,-91.0,-80.0,-70.0,-56.0,-66.0,-66.0
a8:9d:21:3c:47:0e,-88.0,-74.0,-69.5,-53.0,-62.0,-74.0
a8:9d:21:3e:3f:f1,-70.0,-56.0,-64.0,-84.0,-77.0,-85.0
a8:9d:21:3e:3f:fe,-64.0,-55.0,-59.0,-79.0,-77.0,-84.0
d8:b1:90:1c:45:e1,,,-88.5,-88.0,,
