mac_addr,loc1,loc2,loc3,loc4,loc5,loc6
a8:9d:21:1d:f1:01,-68.6842105263158,-85.5,-88.78947368421052,-71.57894736842105,-77.16666666666667,-56.1578947368421
a8:9d:21:1d:f1:0e,-63.63157894736842,-80.21052631578948,-83.16666666666667,-59.26315789473684,-72.57894736842105,-47.68421052631579
a8:9d:21:1d:f1:31,-84.05263157894737,-71.57894736842105,-87.57894736842105,-68.3529411764706,-51.31578947368421,-73.33333333333333
a8:9d:21:1d:f1:3e,-78.44444444444444,-65.47368421052632,-78.35,-54.05263157894737,-45.421052631578945,-50.578947368421055
a8:9d:21:3a:82:b1,-64.27777777777777,-67.0,-67.45,-88.42105263157895,-71.57894736842105,-80.63157894736842
a8:9d:21:3a:82:be,-44.421052631578945,-55.8421052631579,-53.9,-76.9375,-65.15789473684211,-71.73684210526316
a8:9d:21:3c:47:01,-91.0,-79.84210526315789,-68.15789473684211,-55.73684210526316,-65.94736842105263,-65.57894736842105
a8:9d:21:3c:47:0e,-87.76470588235294,-73.52631578947368,-69.55,-52.68421052631579,-62.1578947368421,-73.57894736842105
a8:9d:21:3e:3f:f1,-70.0,-55.94736842105263,-63.89473684210526,-83.52941176470588,-76.3157894736842,-85.15789473684211
a8:9d:21:3e:3f:fe,-63.94736842105263,-55.10526315789474,-59.15,-79.5,-76.94736842105263,-84.0
